ID_SAMPLE,PREDICTOR,EST_COEF,STD_ERROR,Z_VALUE,P_VALUE,MODEL_LOG_LIK_LM,MODEL_N,WALD_TEST_SDEPENDANCE_PVALUE,LR_TEST_SDEPENDANCE_PVALUE
A99_pastAvgW_creW_b97q4_s01q4,(Intercept),1.673969154,0.25832403,6.480113969,9.17E-11,-23.53872123,78,0.007095641,0.008508314
A99_pastAvgW_creW_b97q4_s01q4,ActivoN,2.50E-08,1.52E-08,1.642376538,0.100511994,-23.53872123,78,0.007095641,0.008508314
A99_pastAvgW_creW_b97q4_s01q4,C8Est_w,-0.000771252,0.003170145,-0.243286019,0.807783834,-23.53872123,78,0.007095641,0.008508314
A99_pastAvgW_creW_b97q4_s01q4,CAR_IRR_3A6,-0.009083017,0.005020755,-1.809093854,0.070436424,-23.53872123,78,0.007095641,0.008508314
A99_pastAvgW_creW_b97q4_s01q4,P_ROA,0.014374565,0.013890389,1.034856901,0.300735745,-23.53872123,78,0.007095641,0.008508314
A99_pastAvgW_creW_b97q4_s01q4,P_DEP_ARS_RATE,-0.038666145,0.014917165,-2.592057131,0.009540393,-23.53872123,78,0.007095641,0.008508314
A99_pastAvgW_creW_b97q4_s01q4,P_LOANS_ARS_RATE_W,0.00341192,0.004694754,0.726751595,0.467378141,-23.53872123,78,0.007095641,0.008508314
A99_pastAvgW_creW_b97q4_s01q4,APRSpNF_RATE_W,-0.001884142,0.004653193,-0.404913708,0.685540942,-23.53872123,78,0.007095641,0.008508314
A99_pastAvgW_creW_b97q4_s01q4,APR_USD_RATE,-0.003260042,0.001837309,-1.774356261,0.07600424,-23.53872123,78,0.007095641,0.008508314
A99_pastAvgW_creW_b97q4_s01q4,APR_RATE_W,-0.004707463,0.002476049,-1.90119923,0.057275922,-23.53872123,78,0.007095641,0.008508314
A99_pastAvgW_creW_b97q4_s01q4,rho,-0.266917741,0.099140349,2.692321972,0.00821376,-23.53872123,78,0.007095641,0.008508314
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A99_pastAvgW_creW_b97q4_s03q4,(Intercept),1.741508648,0.315809053,5.514435494,3.50E-08,-40.2732637,78,0.00821376,0.018636483
A99_pastAvgW_creW_b97q4_s03q4,ActivoN,4.19E-08,1.90E-08,2.200802665,0.027749997,-40.2732637,78,0.00821376,0.018636483
A99_pastAvgW_creW_b97q4_s03q4,C8Est_w,0.004298545,0.003956454,1.086464085,0.277273722,-40.2732637,78,0.00821376,0.018636483
A99_pastAvgW_creW_b97q4_s03q4,CAR_IRR_3A6,-0.017693617,0.006261991,-2.825557642,0.00471984,-40.2732637,78,0.00821376,0.018636483
A99_pastAvgW_creW_b97q4_s03q4,P_ROA,0.001008363,0.017355283,0.058101236,0.95366799,-40.2732637,78,0.00821376,0.018636483
A99_pastAvgW_creW_b97q4_s03q4,P_DEP_ARS_RATE,-0.006342433,0.018649286,-0.340089877,0.733788845,-40.2732637,78,0.00821376,0.018636483
A99_pastAvgW_creW_b97q4_s03q4,P_LOANS_ARS_RATE_W,0.00116616,0.005814116,0.200573846,0.84103181,-40.2732637,78,0.00821376,0.018636483
A99_pastAvgW_creW_b97q4_s03q4,APRSpNF_RATE_W,-0.005249634,0.005819026,-0.902149788,0.366977304,-40.2732637,78,0.00821376,0.018636483
A99_pastAvgW_creW_b97q4_s03q4,APR_USD_RATE,-0.007164967,0.002299427,-3.115979353,0.001833351,-40.2732637,78,0.00821376,0.018636483
A99_pastAvgW_creW_b97q4_s03q4,APR_RATE_W,-0.006492581,0.003115452,-2.083993355,0.037160772,-40.2732637,78,0.00821376,0.018636483
A99_pastAvgW_creW_b97q4_s03q4,rho,-0.314465005,0.118973383,2.643154272,0.00821376,-40.2732637,78,0.00821376,0.018636483
