ID_SAMPLE,PREDICTOR,EST_COEF,STD_ERROR,Z_VALUE,P_VALUE,AVG_EFFECT_MEAN,AVG_EFFECT_MIN_90,AVG_EFFECT_MAX_90,MODEL_AIC,MODEL_N
p_A98_Wtill97q4_creW_b97q4_s01q4,(Intercept),0.246410542,1.048138937,0.235093396,0.814136245,0.06043732,-0.123361797,0.244236437,97.19362991,0
p_A98_Wtill97q4_creW_b97q4_s01q4,ActivoN,7.07E-07,3.78E-07,1.869231377,0.061590631,1.73E-07,1.07E-07,2.40E-07,97.19362991,0
p_A98_Wtill97q4_creW_b97q4_s01q4,C8Est_w,0.018279717,0.01691449,1.080713496,0.279824578,0.004483482,0.001517397,0.007449566,97.19362991,0
p_A98_Wtill97q4_creW_b97q4_s01q4,CAR_IRR_3A6,-0.005226569,0.028927477,-0.180678372,0.856620036,-0.001281925,-0.006354578,0.003790728,97.19362991,0
p_A98_Wtill97q4_creW_b97q4_s01q4,P_ROA,0.086145805,0.074888927,1.150314324,0.250014433,0.021129054,0.007996712,0.034261395,97.19362991,0
p_A98_Wtill97q4_creW_b97q4_s01q4,P_DEP_ARS_RATE,0.032279327,0.064265354,0.502281944,0.615469209,0.007917178,-0.00335224,0.019186595,97.19362991,0
p_A98_Wtill97q4_creW_b97q4_s01q4,P_LOANS_ARS_RATE_W,-0.002155855,0.025036149,-0.086109679,0.93137923,-5.29E-04,-0.004919047,0.00386151,97.19362991,0
p_A98_Wtill97q4_creW_b97q4_s01q4,APRSpNF_RATE_W,0.070974301,0.051445837,1.37959271,0.167712083,0.017407926,0.008386508,0.026429344,97.19362991,0
p_A98_Wtill97q4_creW_b97q4_s01q4,APR_USD_RATE,-0.011681016,0.009092836,-1.28463947,0.198918299,-0.002865013,-0.004459511,-0.001270515,97.19362991,0
p_A98_Wtill97q4_creW_b97q4_s01q4,APR_RATE_W,0.003102681,0.012046788,0.257552516,0.796752281,7.61E-04,-0.001351499,0.002873493,97.19362991,0
p_A99_b97q4_fh03q4,(Intercept),2.757120567,1.16692907,2.362714785,0.018141626,0.758994599,0.54164289,0.976346308,97.14101156,0
p_A99_b97q4_fh03q4,ActivoN,1.29E-07,9.31E-08,1.388838541,0.164881853,3.56E-08,1.83E-08,5.29E-08,97.14101156,0
p_A99_b97q4_fh03q4,C8Est_w,0.013546143,0.014239807,0.951287002,0.341458704,0.003729053,0.001076753,0.006381354,97.14101156,0
p_A99_b97q4_fh03q4,CAR_IRR_3A6,-0.03793184,0.021941528,-1.728769327,0.083850388,-0.010442076,-0.014528895,-0.006355256,97.14101156,0
p_A99_b97q4_fh03q4,P_ROA,0.042318391,0.064323051,0.65790397,0.510599839,0.011649628,-3.31E-04,0.023630412,97.14101156,0
p_A99_b97q4_fh03q4,P_DEP_ARS_RATE,-0.035715271,0.069060365,-0.517160179,0.605044347,-0.009831887,-0.022695041,0.003031267,97.14101156,0
p_A99_b97q4_fh03q4,P_LOANS_ARS_RATE_W,0.006521118,0.020934104,0.311506897,0.7554153,0.001795167,-0.00210401,0.005694345,97.14101156,0
p_A99_b97q4_fh03q4,APRSpNF_RATE_W,-0.013774821,0.022499554,-0.612226375,0.540387994,-0.003792005,-0.007982762,3.99E-04,97.14101156,0
p_A99_b97q4_fh03q4,APR_USD_RATE,-0.021588526,0.008827756,-2.445528308,0.014464009,-0.005943003,-0.007587257,-0.004298749,97.14101156,0
p_A99_b97q4_fh03q4,APR_RATE_W,-0.014169367,0.011607463,-1.220711814,0.222195153,-0.003900618,-0.006062619,-0.001738617,97.14101156,0
